Nœmero	Tipo	Nombre	Tema	Mes	Fecha
1	Meetup	Etica en AI	Inteligencia Artificial	Julio	3 de Julio
2	Workshop	Cloud Apps 	"ÀC—mo explotar las bondades de la nube? En este curso aprenderemos como utilizar tecnolog’as (Serverless, Global Load Balancing, Autoscaling, Continuous Delivery) para asegurar la resiliencia, robustez y agilidad de tus aplicaciones"	Julio	10 de Julio
3	Meetup	No se trata solo de una base de datos.	No SQL vs SQL Database	Julio	17 de Julio
4	Workshop	Reconocimiento Visual y Asistentes Virtuales con Watson	"ÀC—mo funcionan los modelos de reconocimiento Visual? ÀC—mo hacer un asistente virtual?  Ven y aprende a entrenar AI y consumirla  como un servicio (Visual Recgnition, Assistant, Natural Language Classifier)"	Julio	24 de Julio
5	Workshop	Entendimiento de Lenguaje Natural y An‡lisis de Personalidad con Watson	"Personality Insights, Knowledge Studio, NLU, Discovery"	Julio	31 de Julio
6	Meetup	Redhat: Reinventando el Open Source	Open Source: Redhat	Agosto	7 de Agosto
7	Workshop	Data Science	"ÀTe imaginas poder utilizar AI para predecir cuantas personas van a dejar una compa–’a o quien entrar‡ en mora? Ven y descubre como utilizar Machine Learning para la predicci—n, clasificaci—n y clusterizaci—n de informaci—n"	Agosto	14 de Agosto
8	Meetup	Comms		Agosto	21 de Agosto
9	Workshop	Microservicios - Docker + Kubernetes		Agosto	28 de Agosto
10	Meetup	Cibercrimen: La mafia en la nueva era	Cybersecurity	Septiembre	4 de Septiembre
11	Workshop	Blockchain		Septiembre	11 de Septiembre
12	Meetup	"Innovaci—n, la nueva forma de hacer negocios."	Nuevos modelos de negocio	Septiembre	18 de Septiembre
13	Workshop	Cloud Apps 		Septiembre	25 de Septiembre
14	Meetup	"Cientificos de datos, los nuevos rockstars!"	Data Science	Octubre	3 de Octubre
15	Workshop	Data Science		Noviembre	9 de Octubre
16	Meetup	Guerra de nubes	Cloud Computing	Octubre	16 de Octubre
17	Workshop	Entendimiento de Lenguaje Natural y An‡lisis de Personalidad con Watson		Octubre	23 de Octubre
18	Meetup	Evento Halloween		Octubre	30 de Octubre
19	Meetup	The rise of the drones	Drones	Noviembre	6 de Noviembre
20	Workshop	Reconocimiento Visual y Asistentes Virtuales con Watson		Octubre	13 de Noviembre
21	Meetup	Econom’a de APIs	API Economy	Noviembre	20 de Noviembre
22	Workshop	Kubernetes o Blockchain		Noviembre	27 de Noviembre
23	Meetup	Smarter Cities	Internet of Things: Veh’culos aut—nomos y otras aplicaciones.	Diciembre	4 de Diciembre
